Assay,Taxon,Amp,Genus
CMCP_1,Barbus callensis,0.788,Barbus
CMCP_3,Luciobarbus leptopogon,0.788,Luciobarbus
CMCP_1,Barbus biscarensis,0.691,Barbus
CMCP_3,Luciobarbus biscarensis,0.691,Luciobarbus
CMCP_1,Barbus brachycephalus,0.658,Barbus
CMCP_1,Barbus capito,0.658,Barbus
CMCP_3,Luciobarbus brachycephalus,0.658,Luciobarbus
CMCP_3,Luciobarbus capito,0.658,Luciobarbus
CMCP_1,Capoeta kosswigi,0.656,Capoeta
CMCP_1,Barbus pallaryi,0.635,Barbus
CMCP_1,Barbus longiceps,0.634,Barbus
CMCP_1,Capoeta barroisi,0.625,Capoeta
CMCP_1,Capoeta erhani,0.625,Capoeta
CMCP_1,Capoeta trutta,0.625,Capoeta
CMCP_1,Capoeta turani,0.625,Capoeta
CMCP_3,Luciobarbus guercifensis,0.625,Luciobarbus
CMCP_1,Barbus comiza,0.601,Barbus
CMCP_1,Barbus comizo,0.601,Barbus
CMCP_1,Barbus steindachneri,0.601,Barbus
CMCP_1,Barbus steindachnerii,0.601,Barbus
CMCP_3,Luciobarbus comizo,0.601,Luciobarbus
CMCP_1,Capoeta sieboldii,0.59,Capoeta
CMCP_1,Barbus albanicus,0.571,Barbus
CMCP_3,Luciobarbus pallaryi,0.567,Luciobarbus
CMCP_3,Luciobarbus rifensis,0.555,Luciobarbus
CMCP_1,Barbus apoensis,0.549,Barbus
CMCP_1,Barbus nasus,0.545,Barbus
CMCP_3,Luciobarbus yahyaouii,0.545,Luciobarbus
CMCP_3,Luciobarbus zayanensis,0.545,Luciobarbus
CMCP_1,Barbus xanthopterus,0.538,Barbus
CMCP_3,Luciobarbus barbulus,0.538,Luciobarbus
CMCP_supplement,Barbonymus gonionotus,0.538,Barbonymus
CMCP_1,Carassioides acuminatus,0.525,Carassioides
CMCP_1,Capoeta angorae,0.521,Capoeta
CMCP_1,Capoeta buhsei,0.521,Capoeta
CMCP_1,Capoeta caelestis,0.521,Capoeta
CMCP_1,Capoeta capoeta,0.521,Capoeta
CMCP_1,Capoeta coadi,0.521,Capoeta
CMCP_1,Capoeta ferdowsii,0.521,Capoeta
CMCP_supplement,Capoeta damascina,0.521,Capoeta
CMCP_1,Barbus meridionalis,0.511,Barbus
CMCP_1,Barbus graecus,0.489,Barbus
