Taxon,Amp
Procambarus troglodytes,0.506
Procambarus digueti,0.471
Procambarus lepidodactylus,0.462
Faxonius hobbsi,0.392
Procambarus pallidus,0.386
Procambarus alleni,0.37
Fallicambarus dissitus,0.369
Procambarus apalachicolae,0.357
Procambarus econfinae,0.357
Procambarus capillatus,0.356
Procambarus horsti,0.354
Procambarus orcinus,0.354
Fallicambarus jeanae,0.344
Procambarus rogersi,0.333
Procambarus epicyrtus,0.33
Faxonius perfectus,0.329
Procambarus ancylus,0.325
Fallicambarus devastator,0.321
Fallicambarus strawni,0.31
Faxonius compressus,0.307
Fallicambarus houstonensis,0.301
Fallicambarus macneesei,0.292
Hobbseus attenuatus,0.29
Hobbseus cristatus,0.29
Procambarus litosternum,0.29
Procambarus pubescens,0.29
Procambarus mancus,0.288
Faxonius luteus,0.282
Procambarus regiomontanus,0.281
Faxonius jonesi,0.275
Procambarus acherontis,0.273
Procambarus clarkii,0.273
Procambarus clarkii ,0.273
Procambarus simulans,0.273
Faxonius medius,0.27
Faxonius sloanii,0.27
Faxonius neglectus,0.268
Procambarus geodytes,0.266
Faxonius menae,0.253
Procambarus pubischelae,0.252
Procambarus erythrops,0.244
Procambarus franzi,0.244
Procambarus leitheuseri,0.244
Procambarus lucifugus,0.244
Procambarus gonopodocristatus,0.243
Procambarus pycnogonopodus,0.237
Procambarus acutus,0.236
Faxonius longidigitus,0.236
Procambarus fallax/virginalis,0.235
Procambarus leonensis,0.232
Faxonius cooperi,0.231
Cambarus batchi,0.229
Faxonius punctimanus,0.229
Faxonius barrenensis,0.228
Cambarus monongalensis,0.227
Faxonella clypeata,0.226
Fallicambarus kountzeae,0.225
Faxonius mirus,0.224
Procambarus pygmaeus,0.221
Procambarus cuevachicae,0.219
Procambarus hidalgoensis,0.219
Troglocambarus maclanei,0.219
Faxonius pagei,0.219
Cambarus sciotensis,0.219
Procambarus geminus,0.217
Fallicambarus harpi,0.217
Procambarus reimeri,0.217
Fallicambarus wallsi,0.217
Faxonius putnami,0.216
Cambarus lenati,0.215
Procambarus okaloosae,0.215
Procambarus paeninsulanus,0.215
Procambarus spiculifer,0.214
Cambarus carinirostris,0.213
Orconectes harrisoni,0.213
Faxonius leptogonopodus,0.213
Faxonius limosus,0.213
Procambarus enoplosternum,0.212
Procambarus advena,0.211
Procambarus natchitochae,0.21
Procambarus nigrocinctus,0.21
Faxonius cristavarius,0.209
Orconectes maletae,0.209
Faxonius forceps,0.208
Procambarus howellae,0.208
Cambarus howardi,0.207
Cambarus maculatus,0.207
Hobbseus petilus,0.206
Faxonius roberti,0.203
