Genus,Species,AP
Fallicambarus,Fallicambarus macneesei,0.497
Procambarus,Procambarus alleni,0.4656
Procambarus,Procambarus troglodytes,0.431
Procambarus,Procambarus incilis,0.403
Procambarus,Procambarus tenuis,0.398
Procambarus,Procambarus pallidus,0.397
Faxonius,Faxonius hobbsi,0.392
Procambarus,Procambarus horsti,0.388
Procambarus,Procambarus orcinus,0.388
Procambarus,Procambarus ancylus,0.368
Procambarus,Procambarus milleri,0.366
Procambarus,Procambarus lepidodactylus,0.343
Procambarus,Procambarus pictus,0.341
Procambarus,Procambarus capillatus,0.339
Procambarus,Procambarus enoplosternum,0.338
Faxonius,Faxonius perfectus,0.329
Procambarus,Procambarus escambiensis,0.316
Procambarus,Procambarus howellae,0.315
Procambarus,Procambarus okaloosae,0.309
Bouchardina,Bouchardina robisoni,0.307
Procambarus,Procambarus epicyrtus,0.305
Procambarus,Procambarus leonensis,0.302
Procambarus,Procambarus clarkii,0.3
Procambarus,Procambarus geminus,0.3
Procambarus,Procambarus reimeri,0.3
Procambarus,Procambarus litosternum,0.299
Procambarus,Procambarus pubescens,0.299
Troglocambarus,Troglocambarus maclanei,0.299
Procambarus,Procambarus acherontis,0.298
Procambarus,Procambarus paeninsulanus,0.297
Cambarus,Cambarus manningi,0.295
Procambarus,Procambarus erythrops,0.293
Procambarus,Procambarus franzi,0.293
Procambarus,Procambarus leitheuseri,0.293
Procambarus,Procambarus lucifugus,0.293
Cambarus,Cambarus robustus,0.284
Cambarus,Cambarus causeyi,0.277
Hobbseus,Hobbseus valleculus,0.276
Faxonius,Faxonius jonesi,0.275
Procambarus,Procambarus spiculifer,0.2718
Procambarus,Procambarus mancus,0.271
Faxonius,Faxonius neglectus,0.268
Procambarus,Procambarus barbatus,0.268
Procambarus,Procambarus lunzi,0.266
Procambarus,Procambarus pygmaeus,0.262
Faxonius,Faxonius luteus,0.258
Procambarus,Procambarus suttkusi,0.257
Procambarus,Procambarus youngi,0.25
Cambarus,Cambarus parrishi,0.248
Faxonius,Faxonius validus,0.244
Hobbseus,Hobbseus yalobushensis,0.242
Procambarus,Procambarus caritus,0.242
Fallicambarus,Fallicambarus jeanae,0.24
Faxonius,Faxonius compressus,0.239
Cambarus,Cambarus graysoni,0.236
Procambarus,Procambarus natchitochae,0.236
Procambarus,Procambarus nigrocinctus,0.236
Procambarus,Procambarus fallax/virginalis,0.235
Cambarus,Cambarus rusticiformis,0.233
Procambarus,Procambarus rathbunae,0.232
Faxonius,Faxonius cooperi,0.231
Procambarus,Procambarus luxus,0.231
Procambarus,Procambarus truculentus,0.23
Fallicambarus,Fallicambarus strawni,0.229
Faxonius,Faxonius punctimanus,0.229
Hobbseus,Hobbseus prominens,0.229
Procambarus,Procambarus pycnogonopodus,0.229
Cambarus,Cambarus coosae,0.228
Cambarus,Cambarus coosawattae,0.228
Cambarus,Cambarus hazardi,0.228
Cambarus,Cambarus speciosus,0.228
Fallicambarus,Fallicambarus kountzeae,0.227
Cambarus,Cambarus parvoculus,0.226
Procambarus,Procambarus rogersi,0.226
Procambarus,Procambarus zonangulus,0.226
Cambarus,Cambarus lenati,0.224
Procambarus,Procambarus nueces,0.224
Cambarus,Cambarus pyronotus,0.223
Cambarus,Cambarus carinirostris,0.222
Fallicambarus,Fallicambarus wallsi,0.22
Hobbseus,Hobbseus attenuatus,0.22
Hobbseus,Hobbseus cristatus,0.22
Procambarus,Procambarus attiguus,0.22
Faxonius,Faxonius pagei,0.219
Faxonius,Faxonius roberti,0.216
Faxonius,Faxonius wagneri,0.216
Procambarus,Procambarus acutus,0.216
Procambarus,Procambarus blandingii,0.216
Faxonius,Faxonius rhoadesi,0.215
Faxonius,Faxonius spinosus,0.215
Procambarus,Procambarus geodytes,0.215
Faxonius,Faxonius leptogonopodus,0.213
Procambarus,Procambarus hubbelli,0.21
Cambarus,Cambarus maculatus,0.209
Cambarus,Cambarus howardi,0.207
Cambarellus,Cambarellus blacki,0.206
Cambarus,Cambarus bartonii,0.206
Faxonius,Faxonius ozarkae,0.206
Cambarus,Cambarus distans,0.203
Cambarus,Cambarus girardianus,0.203
Cambarus,Cambarus obeyensis,0.203
Procambarus,Procambarus pubischelae,0.202
Cambarus,Cambarus franklini,0.199
Faxonius,Faxonius virginiensis,0.199
Faxonella,Faxonella blairi,0.198
Faxonius,Faxonius hartfieldi,0.198
Procambarus,Procambarus apalachicolae,0.195
Procambarus,Procambarus econfinae,0.195
Procambarus,Procambarus latipleurum,0.194
Cambarus,Cambarus johni,0.193
Cambarus,Cambarus longirostris,0.192
Faxonius,Faxonius menae,0.192
Cambarellus,Cambarellus lesliei,0.191
Faxonius,Faxonius longidigitus,0.191
Faxonius,Faxonius medius,0.191
Faxonius,Faxonius meeki,0.191
Faxonius,Faxonius palmeri,0.191
Faxonius,Faxonius chickasawae,0.188
Faxonius,Faxonius limosus,0.188
Cambarus,Cambarus longulus,0.185
Hobbseus,Hobbseus petilus,0.185
Cambarus,Cambarus jezerinaci,0.183
Procambarus,Procambarus shermani,0.182
Cambarus,Cambarus subterraneus,0.18
Cambarus,Cambarus spicatus,0.179
Cambarus,Cambarus aldermanorum,0.177
Cambarus,Cambarus buntingi,0.177
Cambarus,Cambarus hiwasseensis,0.177
Faxonius,Faxonius sloanii,0.177
Cambarellus,Cambarellus puer,0.176
Cambarellus,Cambarellus schmitti,0.176
Cambarus,Cambarus deweesae,0.176
Procambarus,Procambarus bivittatus,0.176
Faxonius,Faxonius yanahlindus,0.172
Cambarus,Cambarus georgiae,0.171
Faxonius,Faxonius durelli,0.171
Cambarus,Cambarus setosus,0.17
Faxonella,Faxonella clypeata,0.168
Faxonius,Faxonius macrus,0.168
Cambarus,Cambarus acuminatus,0.166
Cambarus,Cambarus dubius,0.166
