Assay,Taxon,Name,Amp
CMCP_1,Cyprinus carpio,Cyprinus carpio,0.871
CMCP_1,Unspecified,Cyprinus carpio,0.871
CMCP_1,Unspecified,Barbus callensis,0.788
CMCP_1,Unspecified,Barbus biscarensis,0.691
CMCP_1,Unspecified,Barbus brachycephalus,0.658
CMCP_1,Unspecified,Barbus capito,0.658
CMCP_1,Unspecified,Capoeta kosswigi,0.656
CMCP_1,Unspecified,Barbus pallaryi,0.635
CMCP_1,Unspecified,Barbus longiceps,0.634
CMCP_1,Unspecified,Capoeta trutta,0.625
CMCP_1,Unspecified,Capoeta barroisi,0.625
CMCP_1,Unspecified,Capoeta erhani,0.625
CMCP_1,Unspecified,Capoeta turani,0.625
CMCP_1,Unspecified,Barbus comiza,0.601
CMCP_1,Unspecified,Barbus steindachnerii,0.601
CMCP_1,Unspecified,Barbus comizo,0.601
CMCP_1,Unspecified,Barbus steindachneri,0.601
CMCP_1,Unspecified,Capoeta sieboldii,0.59
CMCP_1,Unspecified,Barbus albanicus,0.571
CMCP_1,Unspecified,Barbus apoensis,0.549
CMCP_1,Unspecified,Barbus nasus,0.545
CMCP_1,Unspecified,Barbus xanthopterus,0.538
CMCP_1,Unspecified,Carassioides acuminatus,0.525
CMCP_1,Unspecified,Capoeta caelestis,0.521
CMCP_1,Unspecified,Capoeta angorae,0.521
CMCP_1,Unspecified,Capoeta capoeta,0.521
CMCP_1,Unspecified,Capoeta ferdowsii,0.521
CMCP_1,Unspecified,Capoeta buhsei,0.521
CMCP_1,Unspecified,Capoeta coadi,0.521
CMCP_1,Unspecified,Barbus meridionalis,0.511
CMCP_1,Unspecified,Capoeta mandica,0.489
CMCP_1,Unspecified,Barbus graecus,0.489
CMCP_1,Unspecified,Barbus pectoralis,0.489
CMCP_1,Unspecified,Barbus barbus,0.464
CMCP_1,Unspecified,Barbus balcanicus,0.448
CMCP_1,Unspecified,Barbus carpathicus,0.448
CMCP_1,Unspecified,Barbus petenyi,0.448
CMCP_1,Unspecified,Capoeta aydinensis,0.448
CMCP_1,Unspecified,Barbus magniatlantis,0.448
CMCP_1,Unspecified,Barbus setivimensis,0.448
CMCP_1,Unspecified,Barbus esocinus,0.448
CMCP_1,Unspecified,Barbus trispilos,0.441
CMCP_1,Unspecified,Albulichthys albuloides,0.433
CMCP_1,Unspecified,Barbus bocagei,0.427
CMCP_1,Unspecified,Barbodes schwanenfeldii,0.418
CMCP_1,Unspecified,Barbonymus altus,0.418
CMCP_1,Unspecified,Capoeta shajariani,0.417
CMCP_1,Unspecified,Capoeta pyragyi,0.417
CMCP_1,Unspecified,Acrossocheilus yunnanensis,0.41
CMCP_1,Unspecified,Bangana devdevi,0.402
CMCP_1,Unspecified,Barbus strumicae,0.402
CMCP_1,Unspecified,Capoeta fusca,0.401
CMCP_1,Unspecified,Barbus nyanzae,0.387
CMCP_1,Unspecified,Capoeta bergamae,0.38
CMCP_1,Unspecified,Capoeta_sp.,0.375
CMCP_1,Unspecified,Barbus oligolepis,0.369
CMCP_1,Unspecified,Barbus borysthenicus,0.369
CMCP_1,Unspecified,Capoeta gracilis,0.369
CMCP_1,Unspecified,Barbus barbus,0.369
CMCP_1,Unspecified,Capoeta aculeata,0.369
CMCP_1,Unspecified,Anematichthys repasson,0.343
CMCP_1,Unspecified,Chondrostoma knerii,0.343
CMCP_1,Unspecified,Crossocheilus nigriloba,0.342
CMCP_1,Unspecified,Barbus prionacanthus,0.341
CMCP_1,Unspecified,Barbus kubanicus,0.334
CMCP_1,Unspecified,Barboides britzi,0.332
CMCP_1,Unspecified,Chondrostoma nasus,0.332
CMCP_1,Unspecified,Chondrostoma ceyhanensis,0.332
CMCP_1,Unspecified,Chondrostoma kinzelbachi,0.332
CMCP_1,Unspecified,Aulopyge huegelii,0.332
CMCP_1,Unspecified,Barboides gracilis,0.332
CMCP_1,Unspecified,Acrossocheilus hemispinus,0.331
CMCP_1,Unspecified,Capoeta razii,0.33
CMCP_1,Unspecified,Barbodes lateristriga,0.33
CMCP_1,Unspecified,Barbus subquincunciatus,0.328
CMCP_1,Unspecified,Barbus castrasibutum,0.327
CMCP_1,Unspecified,Chondrostoma oxyrhynchum,0.327
CMCP_1,Unspecified,Chondrostoma beysehirense,0.327
CMCP_1,Unspecified,Chondrostoma angorense,0.327
CMCP_1,Unspecified,Chondrostoma cyri,0.327
CMCP_1,Unspecified,Chondrostoma prespense,0.327
CMCP_1,Unspecified,Chondrostoma prespensis,0.327
CMCP_1,Unspecified,Chondrostoma vardarense,0.325
CMCP_1,Unspecified,Acrossocheilus longipinnis,0.324
CMCP_1,Unspecified,Cirrhinus microlepis,0.323
CMCP_1,Unspecified,Cirrhinus cirrhosus,0.323
CMCP_1,Unspecified,Barbus jae,0.319
CMCP_1,Unspecified,Barbus tauricus,0.315
CMCP_1,Unspecified,Barbus ciscaucasicus,0.315
CMCP_1,Unspecified,Chondrostoma vardarensis,0.315
CMCP_1,Unspecified,Chondrostoma nasus,0.312
CMCP_1,Unspecified,Crossocheilus langei,0.305
CMCP_1,Unspecified,Achondrostoma salmantinum,0.303
CMCP_1,Unspecified,Barbus sublineatus,0.302
CMCP_1,Unspecified,Chondrostoma phoxinus,0.299
CMCP_1,Unspecified,Chondrostoma toros,0.295
CMCP_1,Unspecified,Chondrostoma holmwoodii,0.294
CMCP_1,Unspecified,Acrossocheilus wuyiensis,0.294
CMCP_1,Unspecified,Crossocheilus diplochilus,0.289
CMCP_1,Unspecified,Barbus biharicus,0.289
CMCP_1,Unspecified,Chondrostoma arrigonis,0.284
CMCP_1,Unspecified,Chondrostoma toxostoma,0.284
CMCP_1,Unspecified,Barbus holotaenia,0.28
CMCP_1,Unspecified,Chondrostoma meandrense,0.279
CMCP_1,Unspecified,Anematichthys apogon,0.279
CMCP_1,Unspecified,Barbus cyclolepis,0.278
CMCP_1,Unspecified,Barbus miolepis,0.273
CMCP_1,Unspecified,Bangana dero,0.27
CMCP_1,Unspecified,Chondrostoma miegii,0.267
CMCP_1,Unspecified,Aspiorhynchus laticeps,0.266
CMCP_1,Unspecified,Capoeta mauricii,0.264
CMCP_1,Unspecified,Carassius langsdorfii,0.264
CMCP_1,Unspecified,Alburnoides eichwaldi,0.263
CMCP_1,Unspecified,Acrossocheilus iridescens,0.263
CMCP_1,Unspecified,Alburnoides ohridanus,0.262
CMCP_1,Unspecified,Alburnoides prespensis,0.262
CMCP_1,Unspecified,Acrossocheilus parallens,0.261
CMCP_1,Unspecified,Abramis sapa,0.26
CMCP_1,Unspecified,Acrossocheilus paradoxus,0.26
CMCP_1,Unspecified,Alburnoides devolli,0.259
CMCP_1,Unspecified,Barbus haasi,0.252
CMCP_1,Unspecified,Barbus sclateri,0.252
CMCP_1,Unspecified,Capoeta banarescui,0.251
CMCP_1,Unspecified,Alburnoides bipunctatus,0.251
CMCP_1,Unspecified,Chondrostoma occidentale,0.25
CMCP_1,Unspecified,Barbus fasciolatus,0.248
CMCP_1,Unspecified,Barbus mattozi,0.245
CMCP_1,Unspecified,Altigena wui,0.244
CMCP_1,Unspecified,Bangana rendahli,0.244
CMCP_1,Unspecified,Alburnoides maculatus,0.244
CMCP_1,Unspecified,Barbodes carnaticus,0.241
CMCP_1,Unspecified,Amblyrhynchichthys truncatus,0.239
CMCP_1,Unspecified,Cosmochilus cardinalis,0.238
CMCP_1,Unspecified,Acanthobrama mirabilis,0.238
CMCP_1,Unspecified,Cosmochilus harmandi,0.238
CMCP_1,Unspecified,Chondrostoma willkommii,0.235
CMCP_1,Unspecified,Chondrostoma duriense,0.235
CMCP_1,Unspecified,Alburnoides kosswigi,0.235
CMCP_1,Unspecified,Chagunius nicholsi,0.234
CMCP_1,Unspecified,Alburnoides eichwaldii,0.234
CMCP_1,Unspecified,Crossocheilus atrilimes,0.233
CMCP_1,Unspecified,Barbichthys laevis,0.233
CMCP_1,Unspecified,Barbus euboicus,0.232
CMCP_1,Unspecified,Barbus bigornei,0.232
CMCP_1,Unspecified,Alburnoides brama,0.232
CMCP_1,Unspecified,Abramis bjoerkna,0.232
CMCP_1,Unspecified,Acrossocheilus spinifer,0.232
CMCP_1,Unspecified,Abramis brama,0.232
CMCP_1,Unspecified,Abramis ballerus,0.23
CMCP_1,Unspecified,Ballerus ballerus,0.23
CMCP_1,Unspecified,Alburnus heckeli,0.23
CMCP_1,Unspecified,Alburnus sellal,0.23
CMCP_1,Unspecified,Chalcalburnus mossulensis,0.23
CMCP_1,Unspecified,Alburnus mossulensis,0.23
CMCP_1,Unspecified,Barbus anoplus,0.228
CMCP_1,Unspecified,Achondrostoma oligolepis,0.228
CMCP_1,Unspecified,Chondrostoma macrolepidotus,0.228
CMCP_1,Unspecified,Acheilognathus yamatsutae,0.228
CMCP_1,Unspecified,Chrosomus oreas,0.224
CMCP_1,Unspecified,Barbodes wynaadensis,0.223
CMCP_1,Unspecified,Crossocheilus reticulatus,0.223
CMCP_1,Unspecified,Chondrostoma genei,0.221
CMCP_1,Unspecified,Chelaethiops bibie,0.221
CMCP_1,Unspecified,Acheilognathus intermedia,0.22
CMCP_1,Unspecified,Barbus wurtzi,0.219
CMCP_1,Unspecified,Blicca bjoerkna,0.219
CMCP_1,Unspecified,Blicca bjoerkna,0.219
CMCP_1,Unspecified,Barbodes heterostomus,0.217
CMCP_1,Unspecified,Chondrostoma lusitanicum,0.216
CMCP_1,Unspecified,Acrossocheilus fasciatus,0.215
CMCP_1,Unspecified,Chondrostoma turiensis,0.214
CMCP_1,Unspecified,Cirrhinus molitorella,0.213
CMCP_1,Unspecified,Alburnus demiri,0.212
CMCP_1,Unspecified,Acheilognathus meridianus,0.211
CMCP_1,Unspecified,Alburnoides thessalicus,0.21
CMCP_1,Unspecified,Alburnus thessalicus,0.21
CMCP_1,Unspecified,Barbus wynaadensis,0.209
CMCP_1,Unspecified,Alburnoides strymonicus,0.209
CMCP_1,Unspecified,Acrossocheilus beijiangensis,0.209
CMCP_1,Unspecified,Megalobrama amblycephala x Megalobrama terminalis x Megalobrama amblycephala x Megalobrama terminalis,0.209
CMCP_1,Unspecified,Alburnus filippi,0.208
CMCP_1,Unspecified,Barbus fritschii,0.207
CMCP_1,Unspecified,Carasobarbus fritschii,0.207
CMCP_1,Unspecified,Altigena yunnanensis,0.207
CMCP_1,Unspecified,Iberochondrostoma lemmingii,0.207
CMCP_1,Unspecified,Anaecypris hispanica,0.207
CMCP_1,Unspecified,Anaecypris hispanica,0.207
CMCP_1,Unspecified,Chondrostoma lemmingii,0.207
CMCP_1,Unspecified,Acheilognathus imberbis,0.206
CMCP_1,Unspecified,Acanthobrama terraesanctae,0.205
CMCP_1,Unspecified,Arabibarbus hadhrami,0.204
CMCP_1,Unspecified,Acrossocheilus monticola,0.204
CMCP_1,Unspecified,Anabarilius polylepis,0.203
CMCP_1,Unspecified,Chondrostoma polylepis,0.203
CMCP_1,Unspecified,Aspiolucius esocinus,0.202
CMCP_1,Unspecified,Acanthobrama persidis,0.202
CMCP_1,Unspecified,Capoeta tinca,0.201
CMCP_1,Unspecified,Caecobarbus geertsii,0.2
CMCP_1,Unspecified,Acheilognathus omeiensis,0.2
CMCP_1,Unspecified,Barbus prespensis,0.199
CMCP_1,Unspecified,Barbus rebeli,0.199
CMCP_1,Unspecified,Barbus guiraonis,0.198
CMCP_1,Unspecified,Barbus microcephalus,0.198
CMCP_1,Unspecified,Clinostomus elongatus,0.196
CMCP_1,Unspecified,Chrosomus erythrogaster,0.196
CMCP_1,Unspecified,Barbodes everetti,0.195
CMCP_1,Unspecified,Chondrostoma olisiponensis,0.195
CMCP_1,Unspecified,Alburnus chalcoides,0.195
CMCP_1,Unspecified,Acheilognathus tonkinensis,0.195
CMCP_1,Unspecified,Catla catla,0.194
CMCP_1,Unspecified,Barbus polylepis,0.193
CMCP_1,Unspecified,Alburnus scoranza,0.193
CMCP_1,Unspecified,Barbus perince,0.192
CMCP_1,Unspecified,Alburnoides emineae,0.192
CMCP_1,Unspecified,Capoeta ekmekciae,0.191
CMCP_1,Unspecified,Barbus tyberinus,0.19
CMCP_1,Unspecified,Barbus macedonicus,0.19
CMCP_1,Unspecified,Barbus brazzai,0.19
CMCP_1,Unspecified,Barbus johnstonii,0.189
CMCP_1,Unspecified,Barbus marequensis,0.189
CMCP_1,Unspecified,Barbus aeneus,0.188
CMCP_1,Unspecified,Chondrostoma fahirae,0.188
CMCP_1,Unspecified,Barbus hulstaerti,0.188
CMCP_1,Unspecified,Codoma ornata,0.187
CMCP_1,Unspecified,Chrosomus tennesseensis,0.187
CMCP_1,Unspecified,Barbodes binotatus,0.187
CMCP_1,Unspecified,Brevibora dorsiocellata,0.186
CMCP_1,Unspecified,Acanthalburnus microlepis,0.185
CMCP_1,Unspecified,Acanthobrama microlepis,0.185
CMCP_1,Unspecified,Alburnus kotschyi,0.185
CMCP_1,Unspecified,Alburnus albidus,0.184
CMCP_1,Unspecified,Acheilognathus polylepis,0.184
CMCP_1,Unspecified,Capoeta antalyensis,0.182
CMCP_1,Unspecified,Capoeta baliki,0.182
CMCP_1,Unspecified,Alburnoides economoui,0.182
CMCP_1,Unspecified,Cophecheilus bamen,0.182
CMCP_1,Unspecified,Ctenopharyngodon idellus,0.182
CMCP_1,Unspecified,Alburnus_sp.,0.181
CMCP_1,Unspecified,Alburnus alburnus,0.181
