"Assay","Taxon","Name","FRmm_total","FRmm_diff","FRmm_3p","FRmm_term","FRmm_AA","FRmm_AG","FRmm_AC","FRmm_TT","FRmm_TG","FRmm_TC","FRmm_GG","FRmm_CC","FR_length","FR_Tm","FR_Tmdiff","Pmm_total","Pmm_center","Pmm_AA","Pmm_AG","Pmm_AC","Pmm_TT","Pmm_TG","Pmm_TC","Pmm_GG","Pmm_CC","P_length","P_Tm"
"LEDN","Amphinemura appalachia","JN200464.1 Amphinemura appalachia voucher EPA0747 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",7,0.142857142857143,0.142857142857143,0,0,0.285714285714286,0.142857142857143,0,0.285714285714286,0.142857142857143,0.142857142857143,0,20,57.1,1.8,1,1,0,0,1,0,0,0,0,0,18,84
"LEDN","Amphinemura banksi","GU711611.1 Amphinemura banksi voucher 09BKSTO-029 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.2,0.1,0.1,0.3,0.3,0,0.2,0.1,0,0,20,57.1,1.8,4,0.25,0.25,0,0.5,0,0.25,0,0,0,18,84
"LEDN","Amphinemura banksi","KM535069.1 Amphinemura banksi voucher BIOUG03096-B09 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.2,0.1,0.1,0.3,0.3,0,0.2,0.1,0,0,20,57.1,1.8,4,0.25,0.25,0,0.5,0,0.25,0,0,0,18,84
"LEDN","Amphinemura banksi","GU711610.1 Amphinemura banksi voucher 09BKSTO-028 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.2,0.1,0.1,0.3,0.3,0,0.2,0.1,0,0,20,57.1,1.8,4,0.25,0.25,0,0.5,0,0.25,0,0,0,18,84
"LEDN","Amphinemura banksi","GU711606.1 Amphinemura banksi voucher 09BKSTO-032 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.2,0.1,0.1,0.3,0.3,0,0.2,0.1,0,0,20,57.1,1.8,4,0.25,0.25,0,0.5,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","MZ632737.1 Amphinemura borealis voucher PLECO-2015F004 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","MZ629246.1 Amphinemura borealis voucher PLECO-2015F003 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","KY262067.1 Amphinemura borealis voucher GBOL12917 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","KY261905.1 Amphinemura borealis voucher GBOL12932 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","KY261821.1 Amphinemura borealis voucher GBOL12914 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","KY261332.1 Amphinemura borealis voucher GBOL12933 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","JX495646.1 Amphinemura borealis voucher NHMO-EPT_427 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","JX495640.1 Amphinemura borealis voucher NHMO-EPT_591 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","JX495647.1 Amphinemura borealis voucher NHMO-EPT_171 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","KY261998.1 Amphinemura borealis voucher GBOL12919 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
