"Accession_title","UID","Species","Length","Location"
"JN200464Amphinemura appalachia voucher EPA0747 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","347362493","Amphinemura appalachia","676","EPA0747|USA: Virginia, Smyth Co., Doves Brook, Rt. 600 Whitetop Road|36.393 N 81.351 W|16-May-2004|O. S. Flint Jr.|Boris Kondratieff"
"KM535069Amphinemura banksi voucher BIOUG03096-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","821677728","Amphinemura banksi","638","BIOUG03096-B09|Canada: Alberta, Waterton Lakes NP|49.106 N 113.819 W|29-Jun-2012|Emma Sylvester"
"GU711611Amphinemura banksi voucher 09BKSTO-029 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","290550503","Amphinemura banksi","658","09BKSTO-029|USA|30-Jul-2009|Kondratieff, Ruiter"
"GU711610Amphinemura banksi voucher 09BKSTO-028 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","290550501","Amphinemura banksi","658","09BKSTO-028|USA|30-Jul-2009|Kondratieff, Ruiter"
"GU711606Amphinemura banksi voucher 09BKSTO-032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","290550493","Amphinemura banksi","658","09BKSTO-032|USA|30-Jul-2009|Kondratieff, Ruiter"
"MZ632737Amphinemura borealis voucher PLECO-2015F004 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","2126575257","Amphinemura borealis","658","PLECO-2015F004|Finland: Lapland, Lapponia inarensis, Utsjoki, Ylaekoengaes|69.96 N 26.682 E|26-Jun-2015|Aki Rinne|Aki Rinne"
"MZ629246Amphinemura borealis voucher PLECO-2015F003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","2126568274","Amphinemura borealis","658","PLECO-2015F003|Finland: Lapland, Lapponia inarensis, Utsjoki, Ylaekoengaes|69.96 N 26.682 E|26-Jun-2015|Aki Rinne|Aki Rinne"
"KY262067Amphinemura borealis voucher GBOL12917 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1214940583","Amphinemura borealis","658","GBOL12917|Germany: Bavaria, Buchenhain, Isarufer - E.ON Buchenhain|48.014 N 11.301 E|26-May-2011|Nikola Reiff|Nikola Reiff"
"KY261998Amphinemura borealis voucher GBOL12919 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1214940445","Amphinemura borealis","658","GBOL12919|Germany: Bavaria, Buchenhain, Isarufer - E.ON Buchenhain|48.014 N 11.301 E|26-May-2011|Nikola Reiff|Nikola Reiff"
"KY261905Amphinemura borealis voucher GBOL12932 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1214940259","Amphinemura borealis","658","GBOL12932|Germany: Bavaria, Buchenhain, Isarufer - E.ON Buchenhain|48.014 N 11.301 E|26-May-2011|Nikola Reiff|Nikola Reiff"
"KY261821Amphinemura borealis voucher GBOL12914 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1214940092","Amphinemura borealis","658","GBOL12914|Germany: Bavaria, Buchenhain, Isarufer - E.ON Buchenhain|48.014 N 11.301 E|26-May-2011|Nikola Reiff|Nikola Reiff"
"KY261332Amphinemura borealis voucher GBOL12933 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1214939115","Amphinemura borealis","658","GBOL12933|Germany: Bavaria, Buchenhain, Isarufer - E.ON Buchenhain|48.014 N 11.301 E|26-May-2011|Nikola Reiff|Nikola Reiff"
"JX495660Amphinemura borealis voucher NHMO-EPT_594 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","404332275","Amphinemura borealis","658","NHMO-EPT_594|Norway: Finnmark, Kautekeino, Lahpoluoppal, Nahpoljokka elv ved brua|69.2102 N 23.762 E|24-Jul-2010|Boumans, Ekrem, Roth"
"JX495647Amphinemura borealis voucher NHMO-EPT_171 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","404332249","Amphinemura borealis","658","NHMO-EPT_171|Norway: Oppland, Harpefoss, Gudbrandsdalslagen|61.5724 N 9.86139 E|20-Jun-2010|L. Boumans"
"JX495646Amphinemura borealis voucher NHMO-EPT_427 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","404332247","Amphinemura borealis","658","NHMO-EPT_427|Norway: Troms, Skibotn, Luheavarri|69.257 N 20.385 E|04-Aug-2010|B. Fromm"
"JX495644Amphinemura borealis voucher NHMO-EPT_274 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","404332243","Amphinemura borealis","658","NHMO-EPT_274|Norway: Oslo, Sognsvann, outflow close to lake|59.9698 N 10.7285 E|22-Jun-2010|L. Boumans"
"JX495640Amphinemura borealis voucher NHMO-EPT_591 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","404332235","Amphinemura borealis","658","NHMO-EPT_591|Norway: Finnmark, Alta, Gargiaelva, ved Storeng|69.8228 N 23.4789 E|23-Jul-2010|Boumans, Ekrem, Roth"
"NC_057056Amphinemura bulla mitochondrion, complete genome","2088244918","Amphinemura bulla","15827",NA
"MW339348Amphinemura bulla mitochondrion, complete genome","1955416964","Amphinemura bulla","15827",NA
"MK132313Amphinemura bulla voucher 0002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991160","Amphinemura bulla","658","0002|Japan|insect|33.52 N 132.49 E|09-Dec-2015|D. Murranyi|130 m"
"MK132312Amphinemura bulla voucher 0001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991158","Amphinemura bulla","658","0001|Japan|insect|33.51 N 132.49 E|22-Oct-2015|D. Murranyi|280 m"
"MK132311Amphinemura bulla voucher 0005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991156","Amphinemura bulla","658","0005|Japan|insect|34.09 N 133.40 E|17-Apr-2016|D. Murranyi|125 m"
"MK132310Amphinemura bulla voucher 0004 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991154","Amphinemura bulla","658","0004|Japan|insect|34.09 N 133.40 E|17-Apr-2016|D. Murranyi|125 m"
"MK132309Amphinemura bulla voucher 0003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991152","Amphinemura bulla","658","0003|Japan|insect|34.09 N 133.40 E|17-Apr-2016|D. Murranyi|125 m"
"NC_060429Amphinemura claviloba mitochondrion, complete sequence","2192917542","Amphinemura claviloba","15707",NA
"MN720741Amphinemura claviloba mitochondrion, complete genome","2028530558","Amphinemura claviloba","15707",NA
"LC644448Amphinemura decemseta P022 mitochondrial COI gene for cytochrome oxidase subunit 1, partial cds","2086549568","Amphinemura decemseta","788","P022|Japan: Shimane, Oda|2019-03-19|Masakazu Hayashi"
"LC644447Amphinemura decemseta P020 mitochondrial COI gene for cytochrome oxidase subunit 1, partial cds","2086549566","Amphinemura decemseta","787","P020|Japan: Shimane, Oda|2019-03-19|Masakazu Hayashi"
"MK132346Amphinemura decemseta voucher n016 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991226","Amphinemura decemseta","658","n016|Japan|insect|31.12 N 130.49 E|15-Apr-2016|D. Murranyi|105 m"
"MK132345Amphinemura decemseta voucher 0024 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991224","Amphinemura decemseta","658","0024|Japan|insect|36.34 N 137.26 E|14-Apr-2016|D. Murranyi|450 m"
"MK132344Amphinemura decemseta voucher n017 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991222","Amphinemura decemseta","658","n017|Japan|insect|31.12 N 130.49 E|15-Apr-2016|D. Murranyi|105 m"
"MK132343Amphinemura decemseta voucher 0030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991220","Amphinemura decemseta","658","0030|Japan|insect|36.50 N 138.08 E|13-Apr-2016|D. Murranyi|725 m"
"MK132342Amphinemura decemseta voucher 0028 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991218","Amphinemura decemseta","658","0028|Japan|insect|35.28 N 136.06 E|06-Apr-2016|D. Murranyi|85 m"
"MK132341Amphinemura decemseta voucher 0023 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991216","Amphinemura decemseta","658","0023|Japan|insect|36.34 N 137.26 E|14-Apr-2016|D. Murranyi|450 m"
"MK132340Amphinemura decemseta voucher 0031 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991214","Amphinemura decemseta","658","0031|Japan|insect|35.03 N 135.43 E|05-Apr-2016|D. Murranyi|150 m"
"MK132339Amphinemura decemseta voucher 0027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991212","Amphinemura decemseta","658","0027|Japan|insect|35.31 N 136.30 E|15-Apr-2016|D. Murranyi|105 m"
"MK132338Amphinemura decemseta voucher 0022 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991210","Amphinemura decemseta","658","0022|Japan|insect|36.13 N 138.36 E|10-Apr-2016|D. Murranyi|980 m"
"MK132337Amphinemura decemseta voucher 0010 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991208","Amphinemura decemseta","658","0010|Japan|insect|37.45 N 140.05 E|10-Sep-2015|D. Murranyi|1315 m"
"MK132336Amphinemura decemseta voucher 0029 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991206","Amphinemura decemseta","658","0029|Japan|insect|36.50 N 138.08 E|13-Apr-2016|D. Murranyi|725 m"
"MK132335Amphinemura decemseta voucher 0021 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991204","Amphinemura decemseta","658","0021|Japan|insect|36.13 N 138.36 E|10-Apr-2016|D. Murranyi|980 m"
"MK132334Amphinemura decemseta voucher 0011 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991202","Amphinemura decemseta","658","0011|Japan|insect|37.45 N 140.18 E|11-Sep-2015|D. Murranyi|815 m"
"MK132333Amphinemura decemseta voucher 0026 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991200","Amphinemura decemseta","658","0026|Japan|insect|34.09 N 133.40 E|17-Apr-2016|D. Murranyi|85 m"
"MK132332Amphinemura decemseta voucher 0013 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991198","Amphinemura decemseta","658","0013|Japan|insect|34.05 N 134.04 E|02-Apr-2016|D. Murranyi|260 m"
