"Accession_title","UID","Species","Length","Location"
"HQ428115Barbicambarus cornutus isolate 252 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977056","Barbicambarus cornutus","630","252"
"HQ428114Barbicambarus cornutus isolate 249 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977054","Barbicambarus cornutus","630","249"
"HQ428113Barbicambarus cornutus isolate 250 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977052","Barbicambarus cornutus","630","250"
"HQ428112Barbicambarus cornutus isolate 251 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977050","Barbicambarus cornutus","630","251"
"HQ428111Barbicambarus cornutus isolate 287 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977048","Barbicambarus cornutus","630","287"
"DQ113440Barbicambarus cornutus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","73695603","Barbicambarus cornutus","627",NA
"HQ428116Barbicambarus simmonsi isolate 266 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","1760322600","Barbicambarus simmonsi","630","266"
"HQ428117Barbicambarus simmonsi isolate 288 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977060","Barbicambarus simmonsi","630","288"
"KF827974Bouchardina robisoni voucher KC5625 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","669056226","Bouchardina robisoni","648","KC5625"
"KF827973Bouchardina robisoni voucher KC5630 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","669056224","Bouchardina robisoni","642","KC5630"
"JX514482Cambarus aculabrum voucher KC574 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052703","Cambarus aculabrum","654","KC574"
"MK410968Cambarus acuminatus voucher CAC18112201MF cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1725293875","Cambarus acuminatus","596","CAC18112201MF"
"KT759643Cambarus acuminatus complex sp. TEC009 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969054","Cambarus acuminatus","590","TEC009"
"KT759642Cambarus acuminatus complex sp. TEC008 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969052","Cambarus acuminatus","589","TEC008"
"KT759551Cambarus acuminatus complex sp. PER003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968477","Cambarus acuminatus","572","PER003"
"KT759549Cambarus acuminatus complex sp. PER001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968474","Cambarus acuminatus","572","PER001|37.749884 N 79.264450 W|23-Jun-2014|Paul Cabe"
"KM979429Cambarus acuminatus haplotype 1 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218434","Cambarus acuminatus","658","JF14686|1"
"KT033747Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987642","Cambarus acuminatus","600","BAC-2-009"
"KT033745Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987638","Cambarus acuminatus","600","BAC-2-007"
"KT033744Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-006 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987636","Cambarus acuminatus","602","BAC-2-006"
"KT033741Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987630","Cambarus acuminatus","602","BAC-2-003"
"KT033740Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987628","Cambarus acuminatus","600","BAC-2-002"
"KT033739Cambarus acuminatus complex sp. PRC-2015 isolate BAC-2-001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","952987626","Cambarus acuminatus","601","BAC-2-001|38.175568 N 79.831921 W|30-Jun-2014|Paul Cabe"
