"Accession_title","UID","Species","Length","Location"
"MZ580852Didemnum albidum voucher USNM:IZ:1524119 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","2070381881","Didemnum albidum","658","USNM:IZ:1524119|USA: Kalekta Bay; South of Cape Kalekta|53.98967 N 166.3539 W|07-Sep-2018|Linda McCann, Gail Ashton, Geoff Keel, Michael O'Mahoney|Gretchen Lambert"
"EU419456Didemnum albidum voucher RMNH UROCH 751 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","171908932","Didemnum albidum","586","DaEP1|RMNH UROCH 751|USA: Eastport, ME"
"EU419432Didemnum albidum voucher RMNH UROCH 750 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","171908884","Didemnum albidum","586","DaGB1|RMNH UROCH 750|USA: Georges Bank"
"KM924166Didemnum albidum isolate GAPB7 cytochrome oxidase subunit I gene, partial cds; mitochondrial","752630792","Didemnum albidum","583","GAPB7|India: Palk Bay Region"
"KJ725159Didemnum albidum isolate GAASC8 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081877","Didemnum albidum","582","GAASC8|Andaman and Nicobar Islands"
"KX650789Didemnum albopunctatum voucher DBTIC169 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1104785517","Didemnum albopunctatum","587","DBTIC169|India|8.4972 N 78.1303 E|05-Jun-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX650788Didemnum albopunctatum voucher DBTIC168 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1104785515","Didemnum albopunctatum","585","DBTIC168|India|8.4972 N 78.1303 E|05-Jun-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KU221212Didemnum apuroto voucher UF_814 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961559","Didemnum apuroto","604","UF_814"
"KU221211Didemnum apuroto voucher UF_813 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961557","Didemnum apuroto","604","UF_813"
"AY116602Didemnum candidum cytochrome oxidase subunit I gene, partial cds; mitochondrial gene for mitochondrial product","23168352","Didemnum candidum","679",NA
"KJ725170Didemnum candidum isolate GAPB4 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081899","Didemnum candidum","653","GAPB4|Palk Bay Region"
"KJ725169Didemnum candidum isolate GAPB3 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081897","Didemnum candidum","655","GAPB3|Palk Bay Region"
